number of workers affected,type of workers,workers affected working sector,productive asset type,productive asset loss,text,primary_country,date_posted,format,url,NER_extracted_geolocation
------------------,----------------,--------,----------------------,--------------------------------,"Livelihoods have been decimated as crops have been devastated — 2 million acres have been adversely impacted – and some 735,000 livestock have perished.",Pakistan,2022-09-02 09:34:32+00:00,News and Press Release,https://reliefweb.int/report/pakistan/unhcr-scales-response-catastrophic-floods-pakistan,
      0           ,       -        ,    -   ,      Crops           ,       2 million acres         ,"Livelihoods have been decimated as crops have been devastated — 2 million acres have been adversely impacted – and some 735,000 livestock have perished.",Pakistan,2022-09-02 09:34:32+00:00,News and Press Release,https://reliefweb.int/report/pakistan/unhcr-scales-response-catastrophic-floods-pakistan,
"     735,000      ",    Livestock   ,    -   ,      -               ,            -                   ,"Livelihoods have been decimated as crops have been devastated — 2 million acres have been adversely impacted – and some 735,000 livestock have perished.",Pakistan,2022-09-02 09:34:32+00:00,News and Press Release,https://reliefweb.int/report/pakistan/unhcr-scales-response-catastrophic-floods-pakistan,
 ------------------------- , --------------- , ------ , --------------------- , ------------------------------ ,The waters broke through a nearby embankment in the early hours of the morning and he had only 10 minutes to evacuate his loved ones to the safety of higher ground before his home was swept away.,Pakistan,2022-09-02 00:00:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-disastrous-floods-uproot-refugees-and-citizens,
 0                         , N/A             , N/A    , N/A                   , N/A                            ,The waters broke through a nearby embankment in the early hours of the morning and he had only 10 minutes to evacuate his loved ones to the safety of higher ground before his home was swept away.,Pakistan,2022-09-02 00:00:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-disastrous-floods-uproot-refugees-and-citizens,
---------------------------,----------------,----------------,----------------------,--------------------------------,"Then I had to move again when my house was completely destroyed after floods washed it away in 2010,” he says.",Pakistan,2022-09-02 00:00:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-disastrous-floods-uproot-refugees-and-citizens,
              0            ,       N/A      ,      N/A        ,         N/A          ,               N/A              ,"Then I had to move again when my house was completely destroyed after floods washed it away in 2010,” he says.",Pakistan,2022-09-02 00:00:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-disastrous-floods-uproot-refugees-and-citizens,
------------------,-----------------,--------,-----------------------,-----------------------,"And we don’t have food so we can’t eat.” Saleem says the sugar cane and corn crops that are his only source of income have been destroyed by the floods, robbing him of the 600,000 to 700,000 rupees (US$3,000) he would earn in a year, even as new costs mount.",Pakistan,2022-09-02 00:00:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-disastrous-floods-uproot-refugees-and-citizens,
       -          , Farmworkers     , Agriculture , Sugar Cane and Corn Crops ," 600,000 to 700,000 Rupees (US$3,000) per year ","And we don’t have food so we can’t eat.” Saleem says the sugar cane and corn crops that are his only source of income have been destroyed by the floods, robbing him of the 600,000 to 700,000 rupees (US$3,000) he would earn in a year, even as new costs mount.",Pakistan,2022-09-02 00:00:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-disastrous-floods-uproot-refugees-and-citizens,
 -------------                 ,:-------------:        ,:-------------:          ,:-------------:              , -----:                             ,"According to government figures, over 287,000 houses have been destroyed, and a further 662,000 homes damaged, while 735,000 livestock have perished and 2 million acres of crops are inundated.",Pakistan,2022-09-02 00:00:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-disastrous-floods-uproot-refugees-and-citizens,
 0                              , N/A                    , N/A                      , Livestock                     ," 735,000                            ","According to government figures, over 287,000 houses have been destroyed, and a further 662,000 homes damaged, while 735,000 livestock have perished and 2 million acres of crops are inundated.",Pakistan,2022-09-02 00:00:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-disastrous-floods-uproot-refugees-and-citizens,
 0                              , N/A                    , N/A                      , Crops                         ," 2,000,000 acres                    ","According to government figures, over 287,000 houses have been destroyed, and a further 662,000 homes damaged, while 735,000 livestock have perished and 2 million acres of crops are inundated.",Pakistan,2022-09-02 00:00:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-disastrous-floods-uproot-refugees-and-citizens,
 N/A                            , N/A                    , N/A                      , Houses                        ," 287,000 destroyed and 662,000     ","According to government figures, over 287,000 houses have been destroyed, and a further 662,000 homes damaged, while 735,000 livestock have perished and 2 million acres of crops are inundated.",Pakistan,2022-09-02 00:00:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-disastrous-floods-uproot-refugees-and-citizens,
                                ,                       ,                          ,                              ,  damaged                          ,"According to government figures, over 287,000 houses have been destroyed, and a further 662,000 homes damaged, while 735,000 livestock have perished and 2 million acres of crops are inundated.",Pakistan,2022-09-02 00:00:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-disastrous-floods-uproot-refugees-and-citizens,
 --- , --- , --- , --- , --- ,"“That’s really where our impact can be most powerful.” Already, more than 1,100 people have died in torrential flash floods that have wiped out roads, bridges and whole communities.",Pakistan,2022-09-01 16:56:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-floods-families-limbo-efforts-rebuild-lives-focus-longer-term,
" 1,100 ", Not Specified , Not Specified , Not Specified , Not Specified ,"“That’s really where our impact can be most powerful.” Already, more than 1,100 people have died in torrential flash floods that have wiped out roads, bridges and whole communities.",Pakistan,2022-09-01 16:56:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-floods-families-limbo-efforts-rebuild-lives-focus-longer-term,
---,---,---,---,---,"That is 1 in 7 Pakistanis who are displaced, have lost their crops or livestock, are grieving the loss of loved ones, and/or no longer have a home.",Pakistan,2022-09-01 22:17:56+00:00,Situation Report,https://reliefweb.int/report/pakistan/situation-report-flood-response-pakistan,
 0 , N/A , N/A , N/A , N/A ,"That is 1 in 7 Pakistanis who are displaced, have lost their crops or livestock, are grieving the loss of loved ones, and/or no longer have a home.",Pakistan,2022-09-01 22:17:56+00:00,Situation Report,https://reliefweb.int/report/pakistan/situation-report-flood-response-pakistan,
 ------------------------- , --------------- , -------------------------- , ------------------------------ , ----------------------------- ,Inflation on food items has reached 41% in a country that is still recovering from the socio-economic impacts of the COVID-19 pandemic.,Pakistan,2022-08-31 16:03:45+00:00,News and Press Release,https://reliefweb.int/report/pakistan/urgent-support-needed-older-people-devastated-floods-pakistan,
 N/A                       , N/A             , N/A                        , Food items                     , 41%                           ,Inflation on food items has reached 41% in a country that is still recovering from the socio-economic impacts of the COVID-19 pandemic.,Pakistan,2022-08-31 16:03:45+00:00,News and Press Release,https://reliefweb.int/report/pakistan/urgent-support-needed-older-people-devastated-floods-pakistan,
 --- , --- , --- , --- , --- ,This is particularly challenging for older people in a country where only 2.5 per cent of the population receive a pension.,Pakistan,2022-08-31 16:03:45+00:00,News and Press Release,https://reliefweb.int/report/pakistan/urgent-support-needed-older-people-devastated-floods-pakistan,
 0 , Not applicable , Not applicable , Not applicable , Not applicable ,This is particularly challenging for older people in a country where only 2.5 per cent of the population receive a pension.,Pakistan,2022-08-31 16:03:45+00:00,News and Press Release,https://reliefweb.int/report/pakistan/urgent-support-needed-older-people-devastated-floods-pakistan,
 2.5% of the population , Older people , Not applicable , Not applicable , Not applicable ,This is particularly challenging for older people in a country where only 2.5 per cent of the population receive a pension.,Pakistan,2022-08-31 16:03:45+00:00,News and Press Release,https://reliefweb.int/report/pakistan/urgent-support-needed-older-people-devastated-floods-pakistan,
 --------------------------, ----------------,-------------------,-----------------------,--------------,"The  floods have left a trail of destruction in Pakistan, causing some 33 million people to suffer the loss of their homes, livelihoods, and belongings.",Pakistan,2022-09-01 07:54:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/trocaire-responding-devastating-floods-pakistan,Pakistan
 33 million                , Not specified   , Not specified     ," Homes, livelihoods, belongings ", Not specified ,"The  floods have left a trail of destruction in Pakistan, causing some 33 million people to suffer the loss of their homes, livelihoods, and belongings.",Pakistan,2022-09-01 07:54:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/trocaire-responding-devastating-floods-pakistan,Pakistan
 ---------------- , --------------- , ------ , -------------------- , -------------------------------,"Over 370,000 houses have been destroyed and over 730,000 partially damaged.",Pakistan,2022-09-01 00:00:00+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-1-floods-31-august-2022,
 0                , N/A             , N/A    , Houses               ," 370,000                         ","Over 370,000 houses have been destroyed and over 730,000 partially damaged.",Pakistan,2022-09-01 00:00:00+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-1-floods-31-august-2022,
 0                , N/A             , N/A    , Houses               ," 730,000 partially damaged      ","Over 370,000 houses have been destroyed and over 730,000 partially damaged.",Pakistan,2022-09-01 00:00:00+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-1-floods-31-august-2022,
----------,-----------,-----------,----------,----------,"Over 287,000 houses have been fully, and 662,000 partially, destroyed.",Pakistan,2022-09-01 04:22:03+00:00,News and Press Release,https://reliefweb.int/report/pakistan/more-three-million-children-risk-devastating-floods-hit-pakistan,
"287,000", Fully destroyed houses,Not Applicable,Houses, 100% loss ,"Over 287,000 houses have been fully, and 662,000 partially, destroyed.",Pakistan,2022-09-01 04:22:03+00:00,News and Press Release,https://reliefweb.int/report/pakistan/more-three-million-children-risk-devastating-floods-hit-pakistan,
"662,000", Partially destroyed houses,Not Applicable,Houses, 50% loss ,"Over 287,000 houses have been fully, and 662,000 partially, destroyed.",Pakistan,2022-09-01 04:22:03+00:00,News and Press Release,https://reliefweb.int/report/pakistan/more-three-million-children-risk-devastating-floods-hit-pakistan,
---,---,---,---,---,"According to UN reports, over 650 000 homes and 17 000 schools have been completely or partially destroyed.",Pakistan,2022-09-01 07:29:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/norway-provide-support-victims-pakistan-flood-disaster,
 0 , N/A , N/A , N/A , N/A ,"According to UN reports, over 650 000 homes and 17 000 schools have been completely or partially destroyed.",Pakistan,2022-09-01 07:29:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/norway-provide-support-victims-pakistan-flood-disaster,
" 650,000 ", N/A , Housing , N/A , N/A ,"According to UN reports, over 650 000 homes and 17 000 schools have been completely or partially destroyed.",Pakistan,2022-09-01 07:29:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/norway-provide-support-victims-pakistan-flood-disaster,
" 17,000 ", Teachers/Staff/Students , Education , N/A , N/A ,"According to UN reports, over 650 000 homes and 17 000 schools have been completely or partially destroyed.",Pakistan,2022-09-01 07:29:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/norway-provide-support-victims-pakistan-flood-disaster,
 ------------------------- , --------------- , -------------- , --------------------- , ----------------------------- ,"We know from experience that it takes time to repair schools, and many of these children have already missed months of education already because of COVID-19.",Pakistan,2022-09-01 06:00:27+00:00,News and Press Release,https://reliefweb.int/report/pakistan/no-back-school-thousands-children-nearly-19000-schools-damaged-destroyed-floods-pakistan,
 0                         , N/A             , N/A            , N/A                   , N/A                           ,"We know from experience that it takes time to repair schools, and many of these children have already missed months of education already because of COVID-19.",Pakistan,2022-09-01 06:00:27+00:00,News and Press Release,https://reliefweb.int/report/pakistan/no-back-school-thousands-children-nearly-19000-schools-damaged-destroyed-floods-pakistan,
----------------------------,----------------,------------------,--------------------------------,--------------,"Some displaced people are also sheltering with relatives, but the majority remains in the open (CNN 26/08/2022; OCHA 26/08/2022; IRP 26/08/2022).",Pakistan,2022-09-01 07:07:25+00:00,Analysis,https://reliefweb.int/report/pakistan/acaps-briefing-note-pakistan-floods-31-august-2022,
 0                          , N/A            , N/A               , N/A                            , N/A          ,"Some displaced people are also sheltering with relatives, but the majority remains in the open (CNN 26/08/2022; OCHA 26/08/2022; IRP 26/08/2022).",Pakistan,2022-09-01 07:07:25+00:00,Analysis,https://reliefweb.int/report/pakistan/acaps-briefing-note-pakistan-floods-31-august-2022,
 --- , --- , --- , --- , --- ,"Agriculture has also been severely impacted, with an estimated 700,000 heads of livestock lost.",Pakistan,2022-09-01 01:51:48+00:00,News and Press Release,https://reliefweb.int/report/pakistan/australia-should-boost-its-commitment-5-million-towards-flood-relief-pakistan-aid-agencies,
 0 , N/A , Agriculture , Livestock ," 700,000 head ","Agriculture has also been severely impacted, with an estimated 700,000 heads of livestock lost.",Pakistan,2022-09-01 01:51:48+00:00,News and Press Release,https://reliefweb.int/report/pakistan/australia-should-boost-its-commitment-5-million-towards-flood-relief-pakistan-aid-agencies,
----------------------------,----------------,--------,----------------------,--------------------------------,"These floods alone have by early estimates, cost the country USD 10 billion.",Pakistan,2022-08-31 23:54:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-deadly-floods-reminder-wealthy-countries-remedy-unfettered-climate-change,
           -                ,        -       ,   -    ,          -           ,               USD 10 billion   ,"These floods alone have by early estimates, cost the country USD 10 billion.",Pakistan,2022-08-31 23:54:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-deadly-floods-reminder-wealthy-countries-remedy-unfettered-climate-change,
 --------- , ----------- , ----------- , ----------- , ----------- ,About 50 to 60 percent of houses built with traditional mud construction have been destroyed by the floodwaters and some people are living on riverbanks.,Pakistan,2022-08-31 20:03:20+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-floods-msf-provides-help-some-areas-hardest-hit,
 - , - , - , Houses , 50-60% destroyed ,About 50 to 60 percent of houses built with traditional mud construction have been destroyed by the floodwaters and some people are living on riverbanks.,Pakistan,2022-08-31 20:03:20+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-floods-msf-provides-help-some-areas-hardest-hit,
---------------------------,----------------------,------------------,-----------------------------------,-------------------------------------------------,"This climate catastrophe has killed more than 1,000 people, with many more injured.",Pakistan,2022-08-30 18:57:13+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-facing-monsoon-steroids-climate-catastrophe-secretary-general-says-urging-global-support-flash-appeal-flood-response-plan,
" 1,000 ", Not specified , Not specified , Not specified , Not specified ,"This climate catastrophe has killed more than 1,000 people, with many more injured.",Pakistan,2022-08-30 18:57:13+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-facing-monsoon-steroids-climate-catastrophe-secretary-general-says-urging-global-support-flash-appeal-flood-response-plan,
" More than 1,000 ", Not specified , Not specified , Not specified , Not specified ,"This climate catastrophe has killed more than 1,000 people, with many more injured.",Pakistan,2022-08-30 18:57:13+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-facing-monsoon-steroids-climate-catastrophe-secretary-general-says-urging-global-support-flash-appeal-flood-response-plan,
 Not specified , Not specified , Not specified , Not specified , Not specified ,"This climate catastrophe has killed more than 1,000 people, with many more injured.",Pakistan,2022-08-30 18:57:13+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-facing-monsoon-steroids-climate-catastrophe-secretary-general-says-urging-global-support-flash-appeal-flood-response-plan,
----------------------,----------------,------------------,----------------------,--------------------------------,"The estimated number of affected people is around 30 million, and around 1 million houses are totally or partially damaged leaving behind millions in need of urgent shelter.",Pakistan,2022-08-31 12:55:03+00:00,Situation Report,https://reliefweb.int/report/pakistan/flood-disaster-pakistan-situation-report-4-31-august-2022,
 30 million            , Not specified  , Not specified    , Not specified        , Not specified                  ,"The estimated number of affected people is around 30 million, and around 1 million houses are totally or partially damaged leaving behind millions in need of urgent shelter.",Pakistan,2022-08-31 12:55:03+00:00,Situation Report,https://reliefweb.int/report/pakistan/flood-disaster-pakistan-situation-report-4-31-august-2022,
 1 million             , Not specified  , Housing/Construction , Houses               , Totally or partially damaged    ,"The estimated number of affected people is around 30 million, and around 1 million houses are totally or partially damaged leaving behind millions in need of urgent shelter.",Pakistan,2022-08-31 12:55:03+00:00,Situation Report,https://reliefweb.int/report/pakistan/flood-disaster-pakistan-situation-report-4-31-august-2022,
----------------------------,----------------,------------------,----------------------,--------------------------------,"Nearly one million houses have been damaged, including 300,000 completely damaged.",Pakistan,2022-08-31 15:03:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/crisisinsight-weekly-picks-31-august-2022,
        0 (no mention)      ,   Not applicable   ,   Not applicable  ,         Houses        ,"         1,000,000               ","Nearly one million houses have been damaged, including 300,000 completely damaged.",Pakistan,2022-08-31 15:03:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/crisisinsight-weekly-picks-31-august-2022,
          Not applicable          ,      Not applicable            ,         Not applicable             ,   Not applicable        ,      Not applicable                  ,"Nearly one million houses have been damaged, including 300,000 completely damaged.",Pakistan,2022-08-31 15:03:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/crisisinsight-weekly-picks-31-august-2022,
         Not applicable           ,       Not applicable            ,   Not applicable                ,     Not applicable      ,"              300,000 completely damaged              ","Nearly one million houses have been damaged, including 300,000 completely damaged.",Pakistan,2022-08-31 15:03:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/crisisinsight-weekly-picks-31-august-2022,
 --- , --- , --- , --- , --- ,"More than 33 million people have been affected after fierce monsoon rains deluged vast parts of the country, with flash floods sweeping away people’s homes and livelihoods.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,
 33 million , Not specified , Not specified , Homes and livelihoods , Not specified ,"More than 33 million people have been affected after fierce monsoon rains deluged vast parts of the country, with flash floods sweeping away people’s homes and livelihoods.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,
 --- , --- , --- , --- , --- ,"The death toll has topped 1,000 people, and still climbing, and many thousands of people have been left with nowhere to live after their homes were damaged or destroyed.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,
 0 , N/A , N/A , N/A , N/A ,"The death toll has topped 1,000 people, and still climbing, and many thousands of people have been left with nowhere to live after their homes were damaged or destroyed.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,
 1000+ , N/A , N/A , N/A , N/A ,"The death toll has topped 1,000 people, and still climbing, and many thousands of people have been left with nowhere to live after their homes were damaged or destroyed.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,
 0 , N/A , N/A , Homes , Damaged or Destroyed ,"The death toll has topped 1,000 people, and still climbing, and many thousands of people have been left with nowhere to live after their homes were damaged or destroyed.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,
 0+ , N/A , N/A , N/A , Nowhere to live ,"The death toll has topped 1,000 people, and still climbing, and many thousands of people have been left with nowhere to live after their homes were damaged or destroyed.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,
---------------------------,----------------,-------------------,-----------------------,--------------------------------,"“When there is so little dry land, and entire communities cut off, the logistics of getting shelter aid to the people in greatest need presents a complicated challenge.” Pakistan has 160 districts and 116 of them have been affected by the flooding.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,Pakistan
             0             ,   Information  ,     N/A           ,          N/A          ,               N/A              ,"“When there is so little dry land, and entire communities cut off, the logistics of getting shelter aid to the people in greatest need presents a complicated challenge.” Pakistan has 160 districts and 116 of them have been affected by the flooding.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,Pakistan
             0             , Communication  ,     N/A           ,          N/A          ,               N/A              ,"“When there is so little dry land, and entire communities cut off, the logistics of getting shelter aid to the people in greatest need presents a complicated challenge.” Pakistan has 160 districts and 116 of them have been affected by the flooding.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,Pakistan
             0             ,     Medical    ,   Healthcare      ,          N/A          ,               N/A              ,"“When there is so little dry land, and entire communities cut off, the logistics of getting shelter aid to the people in greatest need presents a complicated challenge.” Pakistan has 160 districts and 116 of them have been affected by the flooding.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,Pakistan
             0             ,    Military    ,    Security       ,          N/A          ,               N/A              ,"“When there is so little dry land, and entire communities cut off, the logistics of getting shelter aid to the people in greatest need presents a complicated challenge.” Pakistan has 160 districts and 116 of them have been affected by the flooding.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,Pakistan
             0             ,    Emergency  ,     N/A           ,          N/A          ,               N/A              ,"“When there is so little dry land, and entire communities cut off, the logistics of getting shelter aid to the people in greatest need presents a complicated challenge.” Pakistan has 160 districts and 116 of them have been affected by the flooding.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,Pakistan
             0             , Government     , N/A               ,          N/A          ,               N/A              ,"“When there is so little dry land, and entire communities cut off, the logistics of getting shelter aid to the people in greatest need presents a complicated challenge.” Pakistan has 160 districts and 116 of them have been affected by the flooding.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,Pakistan
             N/A           , Agricultural   , Agricultural      ,  Crops/Livestock/Crops  ,  Unclear                       ,"“When there is so little dry land, and entire communities cut off, the logistics of getting shelter aid to the people in greatest need presents a complicated challenge.” Pakistan has 160 districts and 116 of them have been affected by the flooding.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,Pakistan
             N/A           , Industrial     , Manufacturing     ,          N/A          ,  Unclear                       ,"“When there is so little dry land, and entire communities cut off, the logistics of getting shelter aid to the people in greatest need presents a complicated challenge.” Pakistan has 160 districts and 116 of them have been affected by the flooding.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,Pakistan
             N/A           , Service        ,   Service         ,          N/A          ,  Unclear                       ,"“When there is so little dry land, and entire communities cut off, the logistics of getting shelter aid to the people in greatest need presents a complicated challenge.” Pakistan has 160 districts and 116 of them have been affected by the flooding.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,Pakistan
      Unclear/Unknown      ,       N/A      ,     N/A           ,          N/A          ,  Bridges/Dams/Roads/Land/etc.  ,"“When there is so little dry land, and entire communities cut off, the logistics of getting shelter aid to the people in greatest need presents a complicated challenge.” Pakistan has 160 districts and 116 of them have been affected by the flooding.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,Pakistan
             N/A           ,       N/A      ,      N/A          ,          N/A          ,  Monetary/Economic              ,"“When there is so little dry land, and entire communities cut off, the logistics of getting shelter aid to the people in greatest need presents a complicated challenge.” Pakistan has 160 districts and 116 of them have been affected by the flooding.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,Pakistan
             N/A           ,       N/A      ,      N/A          ,          N/A          ,  Water resources              ,"“When there is so little dry land, and entire communities cut off, the logistics of getting shelter aid to the people in greatest need presents a complicated challenge.” Pakistan has 160 districts and 116 of them have been affected by the flooding.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,Pakistan
           116           ,       N/A      ,      N/A          ,          N/A          ,               N/A              ,"“When there is so little dry land, and entire communities cut off, the logistics of getting shelter aid to the people in greatest need presents a complicated challenge.” Pakistan has 160 districts and 116 of them have been affected by the flooding.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,Pakistan
---------------------------,----------------,-------------------,----------------------,--------------------------------,"The flooding has affected an estimated 33 million people and resulted in more than 1,100 deaths and more than 1,600 injuries.",Pakistan,2022-08-30 21:53:13+00:00,News and Press Release,https://reliefweb.int/report/pakistan/united-states-providing-additional-30-million-critical-humanitarian-assistance-response-flooding-pakistan,
"         33,000,000        ",     N/A        ,       N/A          ,         N/A          ,              N/A               ,"The flooding has affected an estimated 33 million people and resulted in more than 1,100 deaths and more than 1,600 injuries.",Pakistan,2022-08-30 21:53:13+00:00,News and Press Release,https://reliefweb.int/report/pakistan/united-states-providing-additional-30-million-critical-humanitarian-assistance-response-flooding-pakistan,
"          1,100            ",     N/A        ,       N/A          ,         N/A          ,              N/A               ,"The flooding has affected an estimated 33 million people and resulted in more than 1,100 deaths and more than 1,600 injuries.",Pakistan,2022-08-30 21:53:13+00:00,News and Press Release,https://reliefweb.int/report/pakistan/united-states-providing-additional-30-million-critical-humanitarian-assistance-response-flooding-pakistan,
"          1,600            ",     N/A        ,       N/A          ,         N/A          ,              N/A               ,"The flooding has affected an estimated 33 million people and resulted in more than 1,100 deaths and more than 1,600 injuries.",Pakistan,2022-08-30 21:53:13+00:00,News and Press Release,https://reliefweb.int/report/pakistan/united-states-providing-additional-30-million-critical-humanitarian-assistance-response-flooding-pakistan,
 ------------------------- , --------------- , ------ , ----------------------, ------------------------------,"In addition, more than one million homes have been damaged or destroyed, and nearly 735,000 livestock – a major source of livelihoods and food – have been lost, and the flooding has damaged roads and more than two million acres of agricultural land.",Pakistan,2022-08-30 21:53:13+00:00,News and Press Release,https://reliefweb.int/report/pakistan/united-states-providing-additional-30-million-critical-humanitarian-assistance-response-flooding-pakistan,
 Unknown                   , Unknown         , Unknown, N/A                   , N/A                           ,"In addition, more than one million homes have been damaged or destroyed, and nearly 735,000 livestock – a major source of livelihoods and food – have been lost, and the flooding has damaged roads and more than two million acres of agricultural land.",Pakistan,2022-08-30 21:53:13+00:00,News and Press Release,https://reliefweb.int/report/pakistan/united-states-providing-additional-30-million-critical-humanitarian-assistance-response-flooding-pakistan,
" 735,000                   ", Livestock       , Farming, Livestock              , Loss                          ,"In addition, more than one million homes have been damaged or destroyed, and nearly 735,000 livestock – a major source of livelihoods and food – have been lost, and the flooding has damaged roads and more than two million acres of agricultural land.",Pakistan,2022-08-30 21:53:13+00:00,News and Press Release,https://reliefweb.int/report/pakistan/united-states-providing-additional-30-million-critical-humanitarian-assistance-response-flooding-pakistan,
 Unknown                   , Unknown         , Roads  , N/A                   , Damage                        ,"In addition, more than one million homes have been damaged or destroyed, and nearly 735,000 livestock – a major source of livelihoods and food – have been lost, and the flooding has damaged roads and more than two million acres of agricultural land.",Pakistan,2022-08-30 21:53:13+00:00,News and Press Release,https://reliefweb.int/report/pakistan/united-states-providing-additional-30-million-critical-humanitarian-assistance-response-flooding-pakistan,
 Unknown                   , Unknown         , Agriculture, Agricultural Land , Damage                        ,"In addition, more than one million homes have been damaged or destroyed, and nearly 735,000 livestock – a major source of livelihoods and food – have been lost, and the flooding has damaged roads and more than two million acres of agricultural land.",Pakistan,2022-08-30 21:53:13+00:00,News and Press Release,https://reliefweb.int/report/pakistan/united-states-providing-additional-30-million-critical-humanitarian-assistance-response-flooding-pakistan,
