number of people displaced,specific_group,From,To,"specific group, From, To",Source (Extracted from text),text,document title,primary_country,date_posted,format,url
660000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), - ,"As of 1 April, approximately 7.1 million people have been forcibly displaced within Ukraine – around 16 per cent of the country’s population – an increase of over 660,000 internally displaced persons (IDPs) since 18 March.",IOM Regional Ukraine Response - Situation Report #13 7 April 2022,['Ukraine'],2022-04-08,['Situation Report'],https://reliefweb.int/report/ukraine/iom-regional-ukraine-response-situation-report-13-7-april-2022
13180,total population,not specified,not specified,total population, Government of Ukraine ,"From 1-3 April, the Government of Ukraine reported that nearly 13,180 people had been evacuated through agreed-upon humanitarian corridors, including just over 2,000 people from Mariupol, nearly 1,170 from southeastern Zaporizka oblast, and more than 5,850 from Luhansk oblast.",IOM Regional Ukraine Response - Situation Report #13 7 April 2022,['Ukraine'],2022-04-08,['Situation Report'],https://reliefweb.int/report/ukraine/iom-regional-ukraine-response-situation-report-13-7-april-2022
12000000,people in need,not specified,not specified,people in need, OCHA Flash Appeal ,"UNICEF acknowledges and appreciates the generous contribution Situation in Numbers 2.9 million
children in need 12 million
people in need
(OCHA Flash Appeal) 6.5 million
internally displaced people
(UNOCHA Situation Report 23 March) 4 million
people fleeing Ukraine
(UNHCR Data Portal 29 March 2022)","UNICEF Ukraine Humanitarian Situation Report No. 6, 24-31 March 2022",['Ukraine'],2022-04-02,['Situation Report'],https://reliefweb.int/report/ukraine/unicef-ukraine-humanitarian-situation-report-no-6-24-31-march-2022
65000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), OCHA Situtation Report 23 March ,"UNICEF acknowledges and appreciates the generous contribution Situation in Numbers 2.9 million
children in need 12 million
people in need
(OCHA Flash Appeal) 6.5 million
internally displaced people
(UNOCHA Situation Report 23 March) 4 million
people fleeing Ukraine
(UNHCR Data Portal 29 March 2022)","UNICEF Ukraine Humanitarian Situation Report No. 6, 24-31 March 2022",['Ukraine'],2022-04-02,['Situation Report'],https://reliefweb.int/report/ukraine/unicef-ukraine-humanitarian-situation-report-no-6-24-31-march-2022
43000000,refugees,not specified,neighbouring countries,refugees to neighbouring countries,     UNHCR – April 2022     ,"SITUATION AT A GLANCE 1,611 Civilian Deaths Resulting from the ConflictOHCHR – April 2022 4.3 MILLION Refugees Fleeing Ukraine to Neighboring CountriesUNHCR – April 2022 7.1 MILLION People Internally Displaced Across UkraineIOM – April 2022 6 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – March 2022 The GoRF war against Ukraine continues to result in civilian deaths and generate further population displacement, damage civilian infrastructure, and exacerbate humanitarian needs across the country.","Ukraine - Complex Emergency Fact Sheet #10, Fiscal Year (FY) 2022",['Ukraine'],2022-04-07,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-10-fiscal-year-fy-2022
71000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps),     IOM – April 2022     ,"SITUATION AT A GLANCE 1,611 Civilian Deaths Resulting from the ConflictOHCHR – April 2022 4.3 MILLION Refugees Fleeing Ukraine to Neighboring CountriesUNHCR – April 2022 7.1 MILLION People Internally Displaced Across UkraineIOM – April 2022 6 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – March 2022 The GoRF war against Ukraine continues to result in civilian deaths and generate further population displacement, damage civilian infrastructure, and exacerbate humanitarian needs across the country.","Ukraine - Complex Emergency Fact Sheet #10, Fiscal Year (FY) 2022",['Ukraine'],2022-04-07,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-10-fiscal-year-fy-2022
854000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), United Nations Office for the Coordination of Humanitarian Affairs (OCHA) ,"The beginning of the war in Ukraine (24 February) triggered massive and rapid displacement within and outside the country, adding to the already existing 854,000 internally displaced persons (IDPs) within Ukraine.",Update on IDP Figures in Ukraine 5 April 2022 [EN/UK],['Ukraine'],2022-04-05,['Situation Report'],https://reliefweb.int/report/ukraine/update-idp-figures-ukraine-5-april-2022-enuk
7100000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), The Global Protection Cluster ,7.1 million Internally displaced people in Ukraine 12.65 million People directly affected by military hostilities The war in Ukraine has triggered one of the fastest-growing displacement and humanitarian crises on record.,"Ukraine Emergency: UNHCR Operational Response, Delivery Updates (4 April 2022)",['Ukraine'],2022-04-07,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-emergency-unhcr-operational-response-delivery-updates-4-april-2022
71000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), N/A ,"As of 1 April, approximately 7.1 million people have been forcibly displaced within Ukraine – around 16 per cent of the country’s population – an increase of over 660,000 internally displaced persons (IDPs) since 18 March.",Ukraine: Humanitarian Impact Situation Report (As of 12:00 p.m. (EET) on 6 April 2022) [EN/RU/UK],['Ukraine'],2022-04-06,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-1200-pm-eet-6-april-2022
660000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Between 18 March and 1 April ,"As of 1 April, approximately 7.1 million people have been forcibly displaced within Ukraine – around 16 per cent of the country’s population – an increase of over 660,000 internally displaced persons (IDPs) since 18 March.",Ukraine: Humanitarian Impact Situation Report (As of 12:00 p.m. (EET) on 6 April 2022) [EN/RU/UK],['Ukraine'],2022-04-06,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-1200-pm-eet-6-april-2022
114000000,total population,not specified,not specified,total population, -                     ,"In total, 11.4 million people have been displaced within the country and across international borders, including nearly 4.3 million people, mainly women and children, who have fled across international borders – a 30 per cent increase compared to around 3.3 million as of 18 March.",Ukraine: Humanitarian Impact Situation Report (As of 12:00 p.m. (EET) on 6 April 2022) [EN/RU/UK],['Ukraine'],2022-04-06,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-1200-pm-eet-6-april-2022
12000000,people in need,not specified,not specified,people in need," UN Flash Appeal, March 2022 ","In numbers 1.1 million conflict-affected people assisted by WFP 12 million people in need (UN Flash Appeal, March 2022) 7.1 million internally displaced persons (IOM, 1 April 2022) 4.5 million people displaced to neighbouring countries (UNHCR, 9 April 2022) 190 WFP staff on the ground in Ukraine and neighbouring countries WFP Emergency Response In response to the Ukraine crisis, WFP has assisted 1.1 million people with in-kind and cash distributions to date and is scaling up to reach 2.3 million people by the end of April, a further 4 million in May and up to 6 million in June.","WFP Ukraine and Neighbouring Countries Situation Report #12, 10 April 2022",['Ukraine'],2022-04-11,['Situation Report'],https://reliefweb.int/report/ukraine/wfp-ukraine-and-neighbouring-countries-situation-report-12-10-april-2022
71000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps)," IOM, 1 April 2022 ","In numbers 1.1 million conflict-affected people assisted by WFP 12 million people in need (UN Flash Appeal, March 2022) 7.1 million internally displaced persons (IOM, 1 April 2022) 4.5 million people displaced to neighbouring countries (UNHCR, 9 April 2022) 190 WFP staff on the ground in Ukraine and neighbouring countries WFP Emergency Response In response to the Ukraine crisis, WFP has assisted 1.1 million people with in-kind and cash distributions to date and is scaling up to reach 2.3 million people by the end of April, a further 4 million in May and up to 6 million in June.","WFP Ukraine and Neighbouring Countries Situation Report #12, 10 April 2022",['Ukraine'],2022-04-11,['Situation Report'],https://reliefweb.int/report/ukraine/wfp-ukraine-and-neighbouring-countries-situation-report-12-10-april-2022
4319494,refugees,not specified,not specified,refugees,  Operational Data Portal Ukraine Refugee Situation,"REFUGEES FLEEING UKRAINE 4,319,494 Data as of 6 April 2022 More details: Operational Data Portal Ukraine Refugee Situation Background The Russian Federation launched a military offensive against Ukraine on 24 February 2022.",Ukraine Situation Flash Update #7 (6 April 2022),['Ukraine'],2022-04-07,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-7-6-april-2022
43000000,refugees,not specified,not specified,refugees, Statement in the text ,"As of today, more than 4.3 million refugees have fled Ukraine, making this the fastest growing refugee crisis since World War II.",Ukraine Situation Flash Update #7 (6 April 2022),['Ukraine'],2022-04-07,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-7-6-april-2022
71000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Text   ,A further 7.1 million people have been displaced internally within Ukraine.,Ukraine Situation Flash Update #7 (6 April 2022),['Ukraine'],2022-04-07,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-7-6-april-2022
12000000,people in need,not specified,not specified,people in need, UN ,"In Numbers: 1 million conflict-affected people assisted by WFP 12 million people in need (UN Flash Appeal) 6.4 million internally displaced persons (IOM, 16 March) 4.1 million people displaced to neighbouring countries(UNHCR) 173 WFP staff on the ground in Ukraine and neighbouring countries Highlights: WFP dispatched 25 mt of food benefitting around 6,000 conflict-affected people with the third interagency convoy reaching Sumy safely on 31 March.","WFP Ukraine and Neighbouring Countries Situation Report #10, 2 April 2022",['Ukraine'],2022-04-04,['Situation Report'],https://reliefweb.int/report/ukraine/wfp-ukraine-and-neighbouring-countries-situation-report-10-2-april-2022
64000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM ,"In Numbers: 1 million conflict-affected people assisted by WFP 12 million people in need (UN Flash Appeal) 6.4 million internally displaced persons (IOM, 16 March) 4.1 million people displaced to neighbouring countries(UNHCR) 173 WFP staff on the ground in Ukraine and neighbouring countries Highlights: WFP dispatched 25 mt of food benefitting around 6,000 conflict-affected people with the third interagency convoy reaching Sumy safely on 31 March.","WFP Ukraine and Neighbouring Countries Situation Report #10, 2 April 2022",['Ukraine'],2022-04-04,['Situation Report'],https://reliefweb.int/report/ukraine/wfp-ukraine-and-neighbouring-countries-situation-report-10-2-april-2022
71000000,internally displaced people (idps),not specified,,internally displaced people (idps), IOM                   ,"In numbers 1 million conflict-affected people assisted by WFP 12 million people in need (UN Flash Appeal) 7.1 million internally displaced persons (IOM, 1 April) 4.3 million people displaced to neighbouring countries (UNHCR) 195 WFP staff on the ground in Ukraine and neighbouring countries Highlights WFP Ukraine team continues to assist over 1 million internally displaced and conflict-affected people in encircled and hard-to-reach cities and oblasts inside Ukraine with much needed food and cash.","WFP Ukraine and Neighbouring Countries Situation Report #11, 6 April 2022",['Ukraine'],2022-04-07,['Situation Report'],https://reliefweb.int/report/ukraine/wfp-ukraine-and-neighbouring-countries-situation-report-11-6-april-2022
4656509,refugees,not specified,not specified,refugees, Operational Data Portal ,"REFUGEES FLEEING UKRAINE4,656,509Data as of 12 April 2022
More details: Operational Data Portal
Ukraine Refugee Situation BACKGROUND The Russian Federation launched a military offensive against Ukraine on 24 February 2022.",Ukraine Situation Flash Update #8 (13 April 2022),['Ukraine'],2022-04-13,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-8-13-april-2022
46000000,refugees,not specified,not specified,refugees, https://www.unhcr.org/ukraine-emergency.html ,"As of today, more than 4.6 million refugees have fled Ukraine, making this the fastest growing refugee crisis since World War II.",Ukraine Situation Flash Update #8 (13 April 2022),['Ukraine'],2022-04-13,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-8-13-april-2022
64000000,internally displaced people (idps),,not specified,internally displaced people (idps), IOM ,"In Numbers 12 million of Ukraine's population in need of humanitarian assistance (UN Flash Appeal) 3.7 million people displaced to neighbouring countries (UNHCR) 6.4 million internally displaced persons (IOM) 34,000 m2 warehouse capacity in Ukraine and neighbouring countries 154 WFP staff on the ground in Ukraine and neighbouring countries Highlights WFP reached over 770,000 crisis-affected people inside Ukraine with food and cash assistance since the beginning of the conflict.","WFP Ukraine and Neighbouring Countries Situation Report #8, 25 March 2022",['Ukraine'],2022-03-28,['Situation Report'],https://reliefweb.int/report/ukraine/wfp-ukraine-and-neighbouring-countries-situation-report-8-25-march-2022
10000000,total population,not specified,not specified,total population, Some estimates      ,The number displaced by the conflict could reach 10 million according to some estimates.,Conflict in Ukraine: Situation Report #10 (28 March 2022),['Ukraine'],2022-03-28,['Situation Report'],https://reliefweb.int/report/ukraine/conflict-ukraine-situation-report-10-28-march-2022
13640,total population,not specified,not specified,total population, Ministry for Reintegration of Ukraine ,"According to the Ministry for Reintegration of Ukraine, between 25 and 27 March, nearly 13,640 people were evacuated through agreed-upon humanitarian corridors, mainly from Mariupol (4,910 people), affected communities in Kyivska oblast (more than 350) and Luhanska oblast (more than 1,000).",Ukraine: Humanitarian Impact Situation Report (As of 12:00 p.m. (EET) on 28 March 2022) [EN/RU/UK],['Ukraine'],2022-03-28,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-1200-pm-eet-28-march-2022
4000000,refugees,not specified,not specified,refugees, News article           ,"As of today, more than 4 million refugees have fled Ukraine, making this the fastest growing refugee crisis since World War II.",Ukraine Situation Flash Update #6 (30 March 2022),['Ukraine'],2022-03-30,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-6-30-march-2022
6500000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), N/A (from the given information),A further 6.5 million people have been displaced internally within Ukraine.,Ukraine Situation Flash Update #6 (30 March 2022),['Ukraine'],2022-03-30,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-6-30-march-2022
3674952,refugees,not specified,not specified,refugees," Operational Data Portal, Data as of 23 March 2022 ","REFUGEES FLEEING UKRAINE3,674,952
Data as of 23 March 2022 More details: Operational Data PortalUkraine Refugee Situation BACKGROUND The Russian Federation launched a military offensive against Ukraine on 24 February 2022.",Ukraine Situation Flash Update #5 (24 March 2022),['Ukraine'],2022-03-24,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-5-24-march-2022
3600000,refugees,not specified,not specified,refugees, News report ,"In the space of just one month, more than 3.6 million refugees have been forced to flee Ukraine, making this the fastest growing refugee crisis since World War II.",Ukraine Situation Flash Update #5 (24 March 2022),['Ukraine'],2022-03-24,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-5-24-march-2022
65000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Provided text ,An additional 6.5 million people have been displaced internally within Ukraine and over 12 million more have been affected in the areas hardest hit by the war.,Ukraine Situation Flash Update #5 (24 March 2022),['Ukraine'],2022-03-24,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-5-24-march-2022
41000000,refugees,not specified,neighbouring countries,refugees to neighbouring countries, UNHCR – March 2022 ,"SITUATION AT A GLANCE 1,232 Civilian Deaths Resulting from the ConflictOHCHR – March 2022 4.1 MILLION Refugees Fleeing Ukraine to Neighboring CountriesUNHCR – March 2022 6.5 MILLION People Internally Displaced Across UkraineIOM – March 2022 6 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – March 2022 The GoRF’s war against Ukraine continues to result in civilian deaths and generate further population displacement, damage civilian infrastructure, and exacerbate humanitarian needs across the country.","Ukraine - Complex Emergency Fact Sheet #9, Fiscal Year (FY) 2022",['Ukraine'],2022-03-31,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-9-fiscal-year-fy-2022
65000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM – March 2022 ,"SITUATION AT A GLANCE 1,232 Civilian Deaths Resulting from the ConflictOHCHR – March 2022 4.1 MILLION Refugees Fleeing Ukraine to Neighboring CountriesUNHCR – March 2022 6.5 MILLION People Internally Displaced Across UkraineIOM – March 2022 6 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – March 2022 The GoRF’s war against Ukraine continues to result in civilian deaths and generate further population displacement, damage civilian infrastructure, and exacerbate humanitarian needs across the country.","Ukraine - Complex Emergency Fact Sheet #9, Fiscal Year (FY) 2022",['Ukraine'],2022-03-31,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-9-fiscal-year-fy-2022
43000000,children,not specified,not specified,children, News article ,"Conflict has displaced 4.3 million children in Ukraine, prompting concerns over their exposure to protection risks.","Ukraine - Complex Emergency Fact Sheet #9, Fiscal Year (FY) 2022",['Ukraine'],2022-03-31,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-9-fiscal-year-fy-2022
647000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM 16/03/2022; WB accessed 25/03/2022,"Around 3.72 million have had to flee the country, while around 6.47 million are estimated to be internally displaced (UNHCR accessed 25/03/2022; IOM 16/03/2022; WB accessed 25/03/2022).","ACAPS Thematic Report - Ukraine: Pattern of movement, people’s needs, and response (27 March 2022)",['Ukraine'],2022-03-29,['Situation Report'],https://reliefweb.int/report/ukraine/acaps-thematic-report-ukraine-pattern-movement-people-s-needs-and-response-27-march
2300000,refugees,,poland,refugees to poland, Text                  ,• More than 2.3 million people are seeking refuge in Poland alone.,"Ukraine Crisis - Situation Report #8 (March 31, 2022)",['Ukraine'],2022-03-31,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-crisis-situation-report-8-march-31-2022
105000000,total population,not specified,not specified,total population, UNHCR                ,"As of 30 March, around 10.5 million people – more than a quarter of the Ukrainian population – have been forcibly displaced by the ongoing military offensive, including nearly 6.5 million internally displaced and more than 4 million displaced across international borders – including 204,000 third-country nationals.",Ukraine: Humanitarian Impact Situation Report (As of 12:00 p.m. (EET) on 30 March 2022) [EN/RU/UK],['Ukraine'],2022-03-30,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-1200-pm-eet-30-march-2022
65000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), UNHCR                ,"As of 30 March, around 10.5 million people – more than a quarter of the Ukrainian population – have been forcibly displaced by the ongoing military offensive, including nearly 6.5 million internally displaced and more than 4 million displaced across international borders – including 204,000 third-country nationals.",Ukraine: Humanitarian Impact Situation Report (As of 12:00 p.m. (EET) on 30 March 2022) [EN/RU/UK],['Ukraine'],2022-03-30,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-1200-pm-eet-30-march-2022
10000000,total population,not specified,not specified,total population, Estimate by some sources ,The number displaced by the conflict could reach 10 million according to some estimates.,Conflict in Ukraine: Situation Report #11 (31 March 2022),['Ukraine'],2022-03-31,['Situation Report'],https://reliefweb.int/report/ukraine/conflict-ukraine-situation-report-11-31-march-2022
100000,total population,not specified,not specified,total population, City's mayor ,"The city’s mayor reported that the escalation has trapped over 100,000 people.",Conflict in Ukraine: Situation Report #11 (31 March 2022),['Ukraine'],2022-03-31,['Situation Report'],https://reliefweb.int/report/ukraine/conflict-ukraine-situation-report-11-31-march-2022
3000000,refugees,not specified,poland,refugees to poland, Unknown                   ,"Situation overview 3 million refugees have fled in 20 days, with over 1.7m into Poland, and more than 1m into Hungary, Moldova,
Slovakia and Romania.","Ukraine Crisis Response - Situation report #2, 16 March 2022",['Ukraine'],2022-03-29,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-crisis-response-situation-report-2-16-march-2022
17000000,refugees,not specified,poland,refugees to poland, Unknown                   ,"Situation overview 3 million refugees have fled in 20 days, with over 1.7m into Poland, and more than 1m into Hungary, Moldova,
Slovakia and Romania.","Ukraine Crisis Response - Situation report #2, 16 March 2022",['Ukraine'],2022-03-29,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-crisis-response-situation-report-2-16-march-2022
3750000,children,not specified,not specified,children, N/A (implied in statement) ,"More than 1 in every 2 Ukrainian children is now displaced, out of an estimated pre-war population of 7.5 million.","Ukraine Crisis Response - Situation report #4, 27 March 2022",['Ukraine'],2022-04-01,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-crisis-response-situation-report-4-27-march-2022
36000000,refugees,not specified,not specified,refugees, Situation Analysis ,"SITUATION ANALYSIS Description of the emergency 3.6M+ people have fled from Ukraine 6.4M+ estimated IDPs – half are children 2,500+ civilian casualties 60+ attacks on health care verified 450+ schools damaged or destroyed Hundreds of thousands are trapped in cities due to ongoing hostilities, many lacking water and electricity Summary of response To date, over 1 million people are estimated to have been assisted by Red Cross and Red Crescent National Societies in impacted countries.","Ukraine and impacted countries - Emergency appeal n° MGR65002, Operation update 01/04/2022",['Ukraine'],2022-04-02,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-and-impacted-countries-emergency-appeal-n-mgr65002-operation-update-01042022
64000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Situation Analysis ,"SITUATION ANALYSIS Description of the emergency 3.6M+ people have fled from Ukraine 6.4M+ estimated IDPs – half are children 2,500+ civilian casualties 60+ attacks on health care verified 450+ schools damaged or destroyed Hundreds of thousands are trapped in cities due to ongoing hostilities, many lacking water and electricity Summary of response To date, over 1 million people are estimated to have been assisted by Red Cross and Red Crescent National Societies in impacted countries.","Ukraine and impacted countries - Emergency appeal n° MGR65002, Operation update 01/04/2022",['Ukraine'],2022-04-02,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-and-impacted-countries-emergency-appeal-n-mgr65002-operation-update-01042022
10000000,children,not specified,not specified,children, UNFPA ,"With more than 10 million people displaced by the crisis, UNFPA is supporting the health and safety of displaced women and children, who constitute the majority of those on the move and face increased risk of gender-based violence.",Ukraine Emergency Situation Report #5 (21 March 2022),['Ukraine'],2022-03-26,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-emergency-situation-report-5-21-march-2022
10000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), UNFPA ,"With more than 10 million people displaced by the crisis, UNFPA is supporting the health and safety of displaced women and children, who constitute the majority of those on the move and face increased risk of gender-based violence.",Ukraine Emergency Situation Report #5 (21 March 2022),['Ukraine'],2022-03-26,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-emergency-situation-report-5-21-march-2022
10000000,total population,not specified,not specified,total population, News article / author's estimate ,An estimated 10 million people have fled their homes.,Ukraine Emergency Situation Report #5 (21 March 2022),['Ukraine'],2022-03-26,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-emergency-situation-report-5-21-march-2022
6500000,internally displaced people (idps),not specified,not specified,internally displaced people (idps),        UNHCR         ,"Nearly 6.5 million are forcibly displaced within Ukraine, nearly 3.5 million have fled to neighboring countries.",Ukraine Emergency Situation Report #5 (21 March 2022),['Ukraine'],2022-03-26,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-emergency-situation-report-5-21-march-2022
12000000,people in need,not specified,not specified,people in need, OCHA Flash Appeal,"Situation in Numbers 2.9 million
children in need of humanitarian assistance 12 million
people in need
(OCHA Flash Appeal) 6.5 million
Internally displaced people
(IOM 18 March) 3.3 million
people fleeing Ukraine
(UNHCR Data Portal 18 March)",UNICEF Ukraine Humanitarian Situation Report No.4 (Reporting Period: 10 - 16 March 2022),['Ukraine'],2022-03-20,['Situation Report'],https://reliefweb.int/report/ukraine/unicef-ukraine-humanitarian-situation-report-no4-reporting-period-10-16-march-2022
65000000,total population,not specified,not specified,total population, OCHA Flash Appeal,"Situation in Numbers 2.9 million
children in need of humanitarian assistance 12 million
people in need
(OCHA Flash Appeal) 6.5 million
Internally displaced people
(IOM 18 March) 3.3 million
people fleeing Ukraine
(UNHCR Data Portal 18 March)",UNICEF Ukraine Humanitarian Situation Report No.4 (Reporting Period: 10 - 16 March 2022),['Ukraine'],2022-03-20,['Situation Report'],https://reliefweb.int/report/ukraine/unicef-ukraine-humanitarian-situation-report-no4-reporting-period-10-16-march-2022
33000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM 18 March,"Situation in Numbers 2.9 million
children in need of humanitarian assistance 12 million
people in need
(OCHA Flash Appeal) 6.5 million
Internally displaced people
(IOM 18 March) 3.3 million
people fleeing Ukraine
(UNHCR Data Portal 18 March)",UNICEF Ukraine Humanitarian Situation Report No.4 (Reporting Period: 10 - 16 March 2022),['Ukraine'],2022-03-20,['Situation Report'],https://reliefweb.int/report/ukraine/unicef-ukraine-humanitarian-situation-report-no4-reporting-period-10-16-march-2022
33000000,refugees,not specified,neighbouring countries,refugees to neighbouring countries, UNHCR – March 2022 ,"SITUATION AT A GLANCE 816 Civilian Deaths Resulting from the ConflictOHCHR – March 2022 3.3 MILLION Refugees Fleeing Ukraine to Neighboring CountriesUNHCR – March 2022 6.5 MILLION People Internally Displaced Across UkraineIOM – March 2022 6 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – March 2022 • The GoRF’s war against Ukraine continues to result in civilian deaths and generate mass population displacement, damage civilian infrastructure, and further exacerbate humanitarian needs across the country.","Ukraine - Complex Emergency Fact Sheet #7, Fiscal Year (FY) 2022",['Ukraine'],2022-03-18,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-7-fiscal-year-fy-2022
65000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM – March 2022 ,"SITUATION AT A GLANCE 816 Civilian Deaths Resulting from the ConflictOHCHR – March 2022 3.3 MILLION Refugees Fleeing Ukraine to Neighboring CountriesUNHCR – March 2022 6.5 MILLION People Internally Displaced Across UkraineIOM – March 2022 6 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – March 2022 • The GoRF’s war against Ukraine continues to result in civilian deaths and generate mass population displacement, damage civilian infrastructure, and further exacerbate humanitarian needs across the country.","Ukraine - Complex Emergency Fact Sheet #7, Fiscal Year (FY) 2022",['Ukraine'],2022-03-18,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-7-fiscal-year-fy-2022
3270662,refugees,not specified,not specified,refugees, UNHCR Operational Data Portal ,"REFUGEES FLEEING UKRAINE3,270,662
Data as of 18 March 2022
More details: UNHCR Operational Data Portal
Ukraine Refugee Situation BACKGROUND The Russian Federation launched a military offensive against Ukraine on 24 February 2022.",Ukraine Situation Flash Update #4 (18 March 2022),['Ukraine'],2022-03-19,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-4-18-march-2022
32000000,refugees,not specified,not specified,refugees, News Article ,"In three weeks, more than 3.2 million refugees have been forced to flee Ukraine, while an additional 6.5 million people have been displaced internally within the country.",Ukraine Situation Flash Update #4 (18 March 2022),['Ukraine'],2022-03-19,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-4-18-march-2022
65000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), News Article ,"In three weeks, more than 3.2 million refugees have been forced to flee Ukraine, while an additional 6.5 million people have been displaced internally within the country.",Ukraine Situation Flash Update #4 (18 March 2022),['Ukraine'],2022-03-19,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-4-18-march-2022
65000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), - ,"Displacement: To date, nearly 6.5 million people have been forcibly displaced within Ukraine, while almost 3.4 million have fled across international borders – more than 2 million of whom have sought refuge in Poland alone.",Ukraine: Humanitarian Impact Situation Report (As of 3:00 p.m. (EET) on 21 March 2022) [EN/RU/UK],['Ukraine'],2022-03-21,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-300-pm-eet-21-march-2022
2000000,refugees,not specified,poland,refugees to poland, - ,"Displacement: To date, nearly 6.5 million people have been forcibly displaced within Ukraine, while almost 3.4 million have fled across international borders – more than 2 million of whom have sought refuge in Poland alone.",Ukraine: Humanitarian Impact Situation Report (As of 3:00 p.m. (EET) on 21 March 2022) [EN/RU/UK],['Ukraine'],2022-03-21,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-300-pm-eet-21-march-2022
