Number of Buildings Mentioned,What Happened,Type of Building,housing sector losses reported,text,primary_country,date_posted,format,url,NER_extracted_geolocation
---------------------,-------------------------,------------------------,-------------------------------------,"From damage reports, it is estimated that over 130,000 buildings in the 11 affected areas have fully collapsed or been severely damaged.",Türkiye,2023-03-02 21:49:18+00:00,Assessment,https://reliefweb.int/report/turkiye/turkiye-earthquakes-response-rapid-needs-assessment-report-february-2023-assessment-dates-17-24-february-location-assessment-gaziantep-kilis-and-hatay-provinces,
"       130,000       ",        Fully Collapsed/Severely Damaged         ,   Not specified     ,                Not specified            ,"From damage reports, it is estimated that over 130,000 buildings in the 11 affected areas have fully collapsed or been severely damaged.",Türkiye,2023-03-02 21:49:18+00:00,Assessment,https://reliefweb.int/report/turkiye/turkiye-earthquakes-response-rapid-needs-assessment-report-february-2023-assessment-dates-17-24-february-location-assessment-gaziantep-kilis-and-hatay-provinces,
------------------,---------------------,-----------------,--------------------------------,"The earthquakes have affected at least 96 communities and 35 sub-districts in NWS; more than 10,000 buildings have been partially or completely destroyed,2 leaving and estimated 55,000 households as displaced, either within or between assessed communities.",Syria,2023-03-02 17:38:01+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-update-2-2-march-2023,
"    10,000        ",      Partial/Total   ,   Household & Residence   ,"            55,000              ","The earthquakes have affected at least 96 communities and 35 sub-districts in NWS; more than 10,000 buildings have been partially or completely destroyed,2 leaving and estimated 55,000 households as displaced, either within or between assessed communities.",Syria,2023-03-02 17:38:01+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-update-2-2-march-2023,
---------------------,-----------------,---------------,--------------------------------,"More than 9 million people were directly affected by the earthquakes, and more than 520,000 housing units collapsed or were destroyed.",Türkiye,2023-03-01 16:49:28+00:00,News and Press Release,https://reliefweb.int/report/turkiye/strengthening-humanitarian-supply-chain-post-earthquake,
"      520,000        ",    Collapsed    ,   Household   ,             N/A                ,"More than 9 million people were directly affected by the earthquakes, and more than 520,000 housing units collapsed or were destroyed.",Türkiye,2023-03-01 16:49:28+00:00,News and Press Release,https://reliefweb.int/report/turkiye/strengthening-humanitarian-supply-chain-post-earthquake,
"      520,000        ",     Destroyed   ,   Household   ,             N/A                ,"More than 9 million people were directly affected by the earthquakes, and more than 520,000 housing units collapsed or were destroyed.",Türkiye,2023-03-01 16:49:28+00:00,News and Press Release,https://reliefweb.int/report/turkiye/strengthening-humanitarian-supply-chain-post-earthquake,
      N/A            ,       N/A       ,   Residence   ,             N/A                ,"More than 9 million people were directly affected by the earthquakes, and more than 520,000 housing units collapsed or were destroyed.",Türkiye,2023-03-01 16:49:28+00:00,News and Press Release,https://reliefweb.int/report/turkiye/strengthening-humanitarian-supply-chain-post-earthquake,
"     9,000,000       ",       N/A       ,       N/A     ,             N/A                ,"More than 9 million people were directly affected by the earthquakes, and more than 520,000 housing units collapsed or were destroyed.",Türkiye,2023-03-01 16:49:28+00:00,News and Press Release,https://reliefweb.int/report/turkiye/strengthening-humanitarian-supply-chain-post-earthquake,
---------------------,----------------,----------------------,-----------------------------------,"1.9 million people in Turkey are being housed in tents or temporary shelters, and nearly 530,000 have been relocated outside the affected areas.",Türkiye,2023-02-28 18:23:05+00:00,Situation Report,https://reliefweb.int/report/turkiye/situation-report-feb-26-2023-0800-gmt3-data-last-updated-feb-27-2023-0800,Türkiye
         0             ,            N/A          ,    N/A                     ,             N/A                        ,"1.9 million people in Turkey are being housed in tents or temporary shelters, and nearly 530,000 have been relocated outside the affected areas.",Türkiye,2023-02-28 18:23:05+00:00,Situation Report,https://reliefweb.int/report/turkiye/situation-report-feb-26-2023-0800-gmt3-data-last-updated-feb-27-2023-0800,Türkiye
"         1,900,000  ",   relocated          ,    temporary shelters  ,             N/A                        ,"1.9 million people in Turkey are being housed in tents or temporary shelters, and nearly 530,000 have been relocated outside the affected areas.",Türkiye,2023-02-28 18:23:05+00:00,Situation Report,https://reliefweb.int/report/turkiye/situation-report-feb-26-2023-0800-gmt3-data-last-updated-feb-27-2023-0800,Türkiye
"         530,000     ",   relocated         ,    N/A                      ,             N/A                        ,"1.9 million people in Turkey are being housed in tents or temporary shelters, and nearly 530,000 have been relocated outside the affected areas.",Türkiye,2023-02-28 18:23:05+00:00,Situation Report,https://reliefweb.int/report/turkiye/situation-report-feb-26-2023-0800-gmt3-data-last-updated-feb-27-2023-0800,Türkiye
--------------------,----------------,---------------,------------------------,"In province, damages to residential infrastructure estimated at 27%, non-residential infrastructure 26% and infrastructure 21%.",Türkiye,2023-02-28 19:21:16+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-february-2023-bi-weekly-highlights-28022023,
       Not given     ,     Damaged    ,   Residential  ,           27%           ,"In province, damages to residential infrastructure estimated at 27%, non-residential infrastructure 26% and infrastructure 21%.",Türkiye,2023-02-28 19:21:16+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-february-2023-bi-weekly-highlights-28022023,
       Not given     ,    Destroyed   ,   Residential  ,           27%           ,"In province, damages to residential infrastructure estimated at 27%, non-residential infrastructure 26% and infrastructure 21%.",Türkiye,2023-02-28 19:21:16+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-february-2023-bi-weekly-highlights-28022023,
       Not given     ,     Damaged    , Non-Residential,           26%           ,"In province, damages to residential infrastructure estimated at 27%, non-residential infrastructure 26% and infrastructure 21%.",Türkiye,2023-02-28 19:21:16+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-february-2023-bi-weekly-highlights-28022023,
       Not given     ,    Destroyed   , Non-Residential,           26%           ,"In province, damages to residential infrastructure estimated at 27%, non-residential infrastructure 26% and infrastructure 21%.",Türkiye,2023-02-28 19:21:16+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-february-2023-bi-weekly-highlights-28022023,
       Not given     ,     Damaged    ,   Infrastructure   ,           21%           ,"In province, damages to residential infrastructure estimated at 27%, non-residential infrastructure 26% and infrastructure 21%.",Türkiye,2023-02-28 19:21:16+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-february-2023-bi-weekly-highlights-28022023,
       Not given     ,    Destroyed   ,   Infrastructure   ,           21%           ,"In province, damages to residential infrastructure estimated at 27%, non-residential infrastructure 26% and infrastructure 21%.",Türkiye,2023-02-28 19:21:16+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-february-2023-bi-weekly-highlights-28022023,
---,---,---,---,"Damages for residential infrastructure estimated at 42%, non–residential 40% and infrastructure 34%.",Türkiye,2023-02-28 19:21:16+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-february-2023-bi-weekly-highlights-28022023,
 Not mentioned , 42% damaged , Residence , Not mentioned ,"Damages for residential infrastructure estimated at 42%, non–residential 40% and infrastructure 34%.",Türkiye,2023-02-28 19:21:16+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-february-2023-bi-weekly-highlights-28022023,
 Not mentioned , 40% damaged/destroyed , Non-residential , Not mentioned ,"Damages for residential infrastructure estimated at 42%, non–residential 40% and infrastructure 34%.",Türkiye,2023-02-28 19:21:16+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-february-2023-bi-weekly-highlights-28022023,
 Not mentioned , 34% damaged , Infrastructure , Not mentioned ,"Damages for residential infrastructure estimated at 42%, non–residential 40% and infrastructure 34%.",Türkiye,2023-02-28 19:21:16+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-february-2023-bi-weekly-highlights-28022023,
 ------------------ , ------------------ , ----------------, ----------------------,"According to national authorities, one person died, 110 people have been injured, 32 rescued, and almost 30 buildings destroyed.",Türkiye,2023-02-28 13:31:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-earthquakes-update-dg-echo-un-ocha-gdacs-usgs-afad-deprem-afad-echo-daily-flash-28-february-2023,
 30                 , Destroyed          , Not specified   , Not specified         ,"According to national authorities, one person died, 110 people have been injured, 32 rescued, and almost 30 buildings destroyed.",Türkiye,2023-02-28 13:31:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-earthquakes-update-dg-echo-un-ocha-gdacs-usgs-afad-deprem-afad-echo-daily-flash-28-february-2023,
 0                  , Damaged            , Not specified   , Not specified         ,"According to national authorities, one person died, 110 people have been injured, 32 rescued, and almost 30 buildings destroyed.",Türkiye,2023-02-28 13:31:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-earthquakes-update-dg-echo-un-ocha-gdacs-usgs-afad-deprem-afad-echo-daily-flash-28-february-2023,
 0                  , Not specified     , Household       , Not specified         ,"According to national authorities, one person died, 110 people have been injured, 32 rescued, and almost 30 buildings destroyed.",Türkiye,2023-02-28 13:31:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-earthquakes-update-dg-echo-un-ocha-gdacs-usgs-afad-deprem-afad-echo-daily-flash-28-february-2023,
 0                  , Not specified     , Residence        , Not specified         ,"According to national authorities, one person died, 110 people have been injured, 32 rescued, and almost 30 buildings destroyed.",Türkiye,2023-02-28 13:31:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-earthquakes-update-dg-echo-un-ocha-gdacs-usgs-afad-deprem-afad-echo-daily-flash-28-february-2023,
 0                  , Not specified     , Not specified   , Not specified         ,"According to national authorities, one person died, 110 people have been injured, 32 rescued, and almost 30 buildings destroyed.",Türkiye,2023-02-28 13:31:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-earthquakes-update-dg-echo-un-ocha-gdacs-usgs-afad-deprem-afad-echo-daily-flash-28-february-2023,
,,,,"According to national authorities, one person died, 110 people have been injured, 32 rescued, and almost 30 buildings destroyed.",Türkiye,2023-02-28 13:31:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-earthquakes-update-dg-echo-un-ocha-gdacs-usgs-afad-deprem-afad-echo-daily-flash-28-february-2023,
---------------------,----------------------,-----------------------,----------------------------,"More than 2.2 million units have sustained some damage, and given that the average occupancy is of 3 people per household, this means that over 7-8 million people lived in homes that were at least partially damaged by the earthquake.",Türkiye,2023-02-28 11:25:15+00:00,Analysis,https://reliefweb.int/report/turkiye/ifrc-turkey-information-management-secondary-data-review-sdr-turkey-earthquake-initial-review-shelter-displacement,
" 2,200,000 ", Some damage , Household , Not specified ,"More than 2.2 million units have sustained some damage, and given that the average occupancy is of 3 people per household, this means that over 7-8 million people lived in homes that were at least partially damaged by the earthquake.",Türkiye,2023-02-28 11:25:15+00:00,Analysis,https://reliefweb.int/report/turkiye/ifrc-turkey-information-management-secondary-data-review-sdr-turkey-earthquake-initial-review-shelter-displacement,
 Not specified , Destroyed , Residence , Not specified ,"More than 2.2 million units have sustained some damage, and given that the average occupancy is of 3 people per household, this means that over 7-8 million people lived in homes that were at least partially damaged by the earthquake.",Türkiye,2023-02-28 11:25:15+00:00,Analysis,https://reliefweb.int/report/turkiye/ifrc-turkey-information-management-secondary-data-review-sdr-turkey-earthquake-initial-review-shelter-displacement,
 Not specified , Not specified , Not specified , 7-8 million people lived in homes that were at least partially damaged ,"More than 2.2 million units have sustained some damage, and given that the average occupancy is of 3 people per household, this means that over 7-8 million people lived in homes that were at least partially damaged by the earthquake.",Türkiye,2023-02-28 11:25:15+00:00,Analysis,https://reliefweb.int/report/turkiye/ifrc-turkey-information-management-secondary-data-review-sdr-turkey-earthquake-initial-review-shelter-displacement,
:------------------:,:-------------:,:-------------:,:---------------------:,"The Global Rapid Post-Disaster Damage Estimation (GRADE) Report, which focuses on the direct physical damages in Türkiye, also estimates that 1.25 million people have been rendered temporarily homeless due to moderate to severe damage or complete building collapse.",Türkiye,2023-02-27 15:06:15+00:00,Assessment,https://reliefweb.int/report/turkiye/global-rapid-post-disaster-damage-estimation-grade-report-february-6-2023-kahramanmaras-earthquakes-turkiye-report,Türkiye
"       1,250,000    ",  Collapsed   ,   Household  ,         Unknown       ,"The Global Rapid Post-Disaster Damage Estimation (GRADE) Report, which focuses on the direct physical damages in Türkiye, also estimates that 1.25 million people have been rendered temporarily homeless due to moderate to severe damage or complete building collapse.",Türkiye,2023-02-27 15:06:15+00:00,Assessment,https://reliefweb.int/report/turkiye/global-rapid-post-disaster-damage-estimation-grade-report-february-6-2023-kahramanmaras-earthquakes-turkiye-report,Türkiye
         N/A        ,   Damaged   ,   Household  ,         Unknown       ,"The Global Rapid Post-Disaster Damage Estimation (GRADE) Report, which focuses on the direct physical damages in Türkiye, also estimates that 1.25 million people have been rendered temporarily homeless due to moderate to severe damage or complete building collapse.",Türkiye,2023-02-27 15:06:15+00:00,Assessment,https://reliefweb.int/report/turkiye/global-rapid-post-disaster-damage-estimation-grade-report-february-6-2023-kahramanmaras-earthquakes-turkiye-report,Türkiye
         N/A        ,   Damaged   ,   Residence  ,         Unknown       ,"The Global Rapid Post-Disaster Damage Estimation (GRADE) Report, which focuses on the direct physical damages in Türkiye, also estimates that 1.25 million people have been rendered temporarily homeless due to moderate to severe damage or complete building collapse.",Türkiye,2023-02-27 15:06:15+00:00,Assessment,https://reliefweb.int/report/turkiye/global-rapid-post-disaster-damage-estimation-grade-report-february-6-2023-kahramanmaras-earthquakes-turkiye-report,Türkiye
         N/A        ,  Destroyed  ,   Household  ,         Unknown       ,"The Global Rapid Post-Disaster Damage Estimation (GRADE) Report, which focuses on the direct physical damages in Türkiye, also estimates that 1.25 million people have been rendered temporarily homeless due to moderate to severe damage or complete building collapse.",Türkiye,2023-02-27 15:06:15+00:00,Assessment,https://reliefweb.int/report/turkiye/global-rapid-post-disaster-damage-estimation-grade-report-february-6-2023-kahramanmaras-earthquakes-turkiye-report,Türkiye
         N/A        ,  Destroyed  ,   Residence  ,         Unknown       ,"The Global Rapid Post-Disaster Damage Estimation (GRADE) Report, which focuses on the direct physical damages in Türkiye, also estimates that 1.25 million people have been rendered temporarily homeless due to moderate to severe damage or complete building collapse.",Türkiye,2023-02-27 15:06:15+00:00,Assessment,https://reliefweb.int/report/turkiye/global-rapid-post-disaster-damage-estimation-grade-report-february-6-2023-kahramanmaras-earthquakes-turkiye-report,Türkiye
 --- , --- , --- , --- ,"Direct damages to residential buildings account for 53% ($18 billion) of the total damage, with 28% of damage ($9.7 billion) in non-residential buildings (e.g., health facilities, schools, government buildings, and private sector buildings), and 19% of damage ($6.4 billion) related to infrastructure (e.g., roads, power, water supply).",Türkiye,2023-02-27 15:06:15+00:00,Assessment,https://reliefweb.int/report/turkiye/global-rapid-post-disaster-damage-estimation-grade-report-february-6-2023-kahramanmaras-earthquakes-turkiye-report,
 Total , $33.1 billion , NA , NA ,"Direct damages to residential buildings account for 53% ($18 billion) of the total damage, with 28% of damage ($9.7 billion) in non-residential buildings (e.g., health facilities, schools, government buildings, and private sector buildings), and 19% of damage ($6.4 billion) related to infrastructure (e.g., roads, power, water supply).",Türkiye,2023-02-27 15:06:15+00:00,Assessment,https://reliefweb.int/report/turkiye/global-rapid-post-disaster-damage-estimation-grade-report-february-6-2023-kahramanmaras-earthquakes-turkiye-report,
 Residential , $18 billion , Household , NA ,"Direct damages to residential buildings account for 53% ($18 billion) of the total damage, with 28% of damage ($9.7 billion) in non-residential buildings (e.g., health facilities, schools, government buildings, and private sector buildings), and 19% of damage ($6.4 billion) related to infrastructure (e.g., roads, power, water supply).",Türkiye,2023-02-27 15:06:15+00:00,Assessment,https://reliefweb.int/report/turkiye/global-rapid-post-disaster-damage-estimation-grade-report-february-6-2023-kahramanmaras-earthquakes-turkiye-report,
 Non-Residential , $9.7 billion ," Private Sector Buildings, Health Facilities, Schools, Government Buildings ", NA ,"Direct damages to residential buildings account for 53% ($18 billion) of the total damage, with 28% of damage ($9.7 billion) in non-residential buildings (e.g., health facilities, schools, government buildings, and private sector buildings), and 19% of damage ($6.4 billion) related to infrastructure (e.g., roads, power, water supply).",Türkiye,2023-02-27 15:06:15+00:00,Assessment,https://reliefweb.int/report/turkiye/global-rapid-post-disaster-damage-estimation-grade-report-february-6-2023-kahramanmaras-earthquakes-turkiye-report,
 Infrastructure , $6.4 billion , NA ," Roads, Power, Water Supply ","Direct damages to residential buildings account for 53% ($18 billion) of the total damage, with 28% of damage ($9.7 billion) in non-residential buildings (e.g., health facilities, schools, government buildings, and private sector buildings), and 19% of damage ($6.4 billion) related to infrastructure (e.g., roads, power, water supply).",Türkiye,2023-02-27 15:06:15+00:00,Assessment,https://reliefweb.int/report/turkiye/global-rapid-post-disaster-damage-estimation-grade-report-february-6-2023-kahramanmaras-earthquakes-turkiye-report,
------------------------------,----------------------------------------,-----------------,--------------------------------,"Extensive infrastructure damage has been recorded in the areas affected by the earthquake, with many buildings already damaged during the last 12 years of crisis.",Syria,2023-02-27 17:57:47+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-27-february-2023,
 1                            , Damaged                                , Not specified   , Not specified                  ,"Extensive infrastructure damage has been recorded in the areas affected by the earthquake, with many buildings already damaged during the last 12 years of crisis.",Syria,2023-02-27 17:57:47+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-27-february-2023,
 12                           , Damaged                                , Not specified   , Not specified                  ,"Extensive infrastructure damage has been recorded in the areas affected by the earthquake, with many buildings already damaged during the last 12 years of crisis.",Syria,2023-02-27 17:57:47+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-27-february-2023,
 Not specified                , Destroyed                              , Not specified   , Not specified                  ,"Extensive infrastructure damage has been recorded in the areas affected by the earthquake, with many buildings already damaged during the last 12 years of crisis.",Syria,2023-02-27 17:57:47+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-27-february-2023,
--------------------,-------------------,------------------,-----------------------,Many aftershocks followed the earthquake and a second major earthquake hit the region after 9 hours with 7.5 magnitude causing serious further damage and destruction of damaged buildings.,Türkiye,2023-02-25 15:03:24+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-24022023,
 1                  ," Damaged, Destroyed ", Household        , N/A                   ,Many aftershocks followed the earthquake and a second major earthquake hit the region after 9 hours with 7.5 magnitude causing serious further damage and destruction of damaged buildings.,Türkiye,2023-02-25 15:03:24+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-24022023,
 1                  , Serious Damage    , Residence        , N/A                   ,Many aftershocks followed the earthquake and a second major earthquake hit the region after 9 hours with 7.5 magnitude causing serious further damage and destruction of damaged buildings.,Türkiye,2023-02-25 15:03:24+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-24022023,
 2                  , Destroyed         , Household        , N/A                   ,Many aftershocks followed the earthquake and a second major earthquake hit the region after 9 hours with 7.5 magnitude causing serious further damage and destruction of damaged buildings.,Türkiye,2023-02-25 15:03:24+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-24022023,
 2                  , Serious Damage    , Residence        , N/A                   ,Many aftershocks followed the earthquake and a second major earthquake hit the region after 9 hours with 7.5 magnitude causing serious further damage and destruction of damaged buildings.,Türkiye,2023-02-25 15:03:24+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-24022023,
---------------------------,------------------------------------------,-----------------,--------------------------------,"""Among those affected by the earthquakes are some of the 800,000 Syrian refugee children Türkiye has so generously hosted over the past decade.",Türkiye,2023-02-25 00:03:47+00:00,News and Press Release,https://reliefweb.int/report/turkiye/unicef-geneva-palais-briefing-note-situation-earthquake-affected-children-and-families-turkiye,Türkiye
 0                         , N/A                                      , N/A             , N/A                            ,"""Among those affected by the earthquakes are some of the 800,000 Syrian refugee children Türkiye has so generously hosted over the past decade.",Türkiye,2023-02-25 00:03:47+00:00,News and Press Release,https://reliefweb.int/report/turkiye/unicef-geneva-palais-briefing-note-situation-earthquake-affected-children-and-families-turkiye,Türkiye
,,,,"""Among those affected by the earthquakes are some of the 800,000 Syrian refugee children Türkiye has so generously hosted over the past decade.",Türkiye,2023-02-25 00:03:47+00:00,News and Press Release,https://reliefweb.int/report/turkiye/unicef-geneva-palais-briefing-note-situation-earthquake-affected-children-and-families-turkiye,Türkiye
 ------------------ , ----------------- , -----------------, ------------------------,"According to the Turkish Ministry of Environment, Urbanization and Climate Change, of the more than one million structures inspected so far, 156,000 buildings containing 507,000 separate homes and offices have either completely collapsed or are so damaged they will require demolition.",Türkiye,2023-02-24 09:34:05+00:00,News and Press Release,https://reliefweb.int/report/turkiye/millions-tons-earthquake-rubble-await-removal-turkiye-entr,
" 156,000            ", Completely Collapsed, Both (Houses/Offices) ," 507,000","According to the Turkish Ministry of Environment, Urbanization and Climate Change, of the more than one million structures inspected so far, 156,000 buildings containing 507,000 separate homes and offices have either completely collapsed or are so damaged they will require demolition.",Türkiye,2023-02-24 09:34:05+00:00,News and Press Release,https://reliefweb.int/report/turkiye/millions-tons-earthquake-rubble-await-removal-turkiye-entr,
                     , Require Demolition ,                    ,                           ,"According to the Turkish Ministry of Environment, Urbanization and Climate Change, of the more than one million structures inspected so far, 156,000 buildings containing 507,000 separate homes and offices have either completely collapsed or are so damaged they will require demolition.",Türkiye,2023-02-24 09:34:05+00:00,News and Press Release,https://reliefweb.int/report/turkiye/millions-tons-earthquake-rubble-await-removal-turkiye-entr,
                     , Damaged           ,                    ,                           ,"According to the Turkish Ministry of Environment, Urbanization and Climate Change, of the more than one million structures inspected so far, 156,000 buildings containing 507,000 separate homes and offices have either completely collapsed or are so damaged they will require demolition.",Türkiye,2023-02-24 09:34:05+00:00,News and Press Release,https://reliefweb.int/report/turkiye/millions-tons-earthquake-rubble-await-removal-turkiye-entr,
                     ,                   , Household         ,                           ,"According to the Turkish Ministry of Environment, Urbanization and Climate Change, of the more than one million structures inspected so far, 156,000 buildings containing 507,000 separate homes and offices have either completely collapsed or are so damaged they will require demolition.",Türkiye,2023-02-24 09:34:05+00:00,News and Press Release,https://reliefweb.int/report/turkiye/millions-tons-earthquake-rubble-await-removal-turkiye-entr,
                     ,                   , Residence         ,                           ,"According to the Turkish Ministry of Environment, Urbanization and Climate Change, of the more than one million structures inspected so far, 156,000 buildings containing 507,000 separate homes and offices have either completely collapsed or are so damaged they will require demolition.",Türkiye,2023-02-24 09:34:05+00:00,News and Press Release,https://reliefweb.int/report/turkiye/millions-tons-earthquake-rubble-await-removal-turkiye-entr,
:------------------:,:--------------:,:-------------:,:------------------------------:,"As of 21 February, at least 42.310 deaths and 108.068 injuries have been confirmed, and up to 105.794 buildings have been affected.",Türkiye,2023-02-23 15:03:08+00:00,Assessment,https://reliefweb.int/report/turkiye/multi-sectoral-initial-rapid-needs-assessment-mental-health-and-psychosocial-support-child-protection-kahramanmaras-earthquake-february-2023,
      105794        ,   Affected     , Not Available ,          Not Available         ,"As of 21 February, at least 42.310 deaths and 108.068 injuries have been confirmed, and up to 105.794 buildings have been affected.",Türkiye,2023-02-23 15:03:08+00:00,Assessment,https://reliefweb.int/report/turkiye/multi-sectoral-initial-rapid-needs-assessment-mental-health-and-psychosocial-support-child-protection-kahramanmaras-earthquake-february-2023,
       Not Available,     Damaged    ,   Household   ,          Not Available         ,"As of 21 February, at least 42.310 deaths and 108.068 injuries have been confirmed, and up to 105.794 buildings have been affected.",Türkiye,2023-02-23 15:03:08+00:00,Assessment,https://reliefweb.int/report/turkiye/multi-sectoral-initial-rapid-needs-assessment-mental-health-and-psychosocial-support-child-protection-kahramanmaras-earthquake-february-2023,
       Not Available,   Destroyed    ,   Residence   ,          Not Available         ,"As of 21 February, at least 42.310 deaths and 108.068 injuries have been confirmed, and up to 105.794 buildings have been affected.",Türkiye,2023-02-23 15:03:08+00:00,Assessment,https://reliefweb.int/report/turkiye/multi-sectoral-initial-rapid-needs-assessment-mental-health-and-psychosocial-support-child-protection-kahramanmaras-earthquake-february-2023,
       Not Available, Not Available , Not Available ,         Not Available          ,"As of 21 February, at least 42.310 deaths and 108.068 injuries have been confirmed, and up to 105.794 buildings have been affected.",Türkiye,2023-02-23 15:03:08+00:00,Assessment,https://reliefweb.int/report/turkiye/multi-sectoral-initial-rapid-needs-assessment-mental-health-and-psychosocial-support-child-protection-kahramanmaras-earthquake-february-2023,
 ------------------ , ------------- , ---------------- , ----------------------,"The Urbanization Minister of Türkiye said 156,000 buildings and more than 500,000 apartments were destroyed or severely damaged by the earthquake.",Türkiye,2023-02-23 23:31:37+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-thursday-23-february-2023-situation-report-14-updated-2100-gmt3-turkiye-syria-earthquakes-7000-aftershocks-response,
"     156,000        ",   Destroyed   ,      Apartments  ,        Not reported    ,"The Urbanization Minister of Türkiye said 156,000 buildings and more than 500,000 apartments were destroyed or severely damaged by the earthquake.",Türkiye,2023-02-23 23:31:37+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-thursday-23-february-2023-situation-report-14-updated-2100-gmt3-turkiye-syria-earthquakes-7000-aftershocks-response,
"     156,000        ",   Damaged     ,      Apartments  ,        Not reported    ,"The Urbanization Minister of Türkiye said 156,000 buildings and more than 500,000 apartments were destroyed or severely damaged by the earthquake.",Türkiye,2023-02-23 23:31:37+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-thursday-23-february-2023-situation-report-14-updated-2100-gmt3-turkiye-syria-earthquakes-7000-aftershocks-response,
"     500,000        ",   Destroyed   ,      Apartments  ,        Not reported    ,"The Urbanization Minister of Türkiye said 156,000 buildings and more than 500,000 apartments were destroyed or severely damaged by the earthquake.",Türkiye,2023-02-23 23:31:37+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-thursday-23-february-2023-situation-report-14-updated-2100-gmt3-turkiye-syria-earthquakes-7000-aftershocks-response,
"     500,000        ",   Damaged     ,      Apartments  ,        Not reported    ,"The Urbanization Minister of Türkiye said 156,000 buildings and more than 500,000 apartments were destroyed or severely damaged by the earthquake.",Türkiye,2023-02-23 23:31:37+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-thursday-23-february-2023-situation-report-14-updated-2100-gmt3-turkiye-syria-earthquakes-7000-aftershocks-response,
:------------------:,:-----------------:,:-------------:,:---------------------:,"The earthquakes have affected at least 96 communities and 35 sub-districts in NWS; more than 10,000 buildings have been partially or completely destroyed, leaving over 11,000 people homeless.",Syria,2023-02-23 16:28:02+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-flash-update-3-emergency-response-earthquake-23-february-2022,
"       10,000       ",      Destroyed     ,   Household   ,         Unknown       ,"The earthquakes have affected at least 96 communities and 35 sub-districts in NWS; more than 10,000 buildings have been partially or completely destroyed, leaving over 11,000 people homeless.",Syria,2023-02-23 16:28:02+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-flash-update-3-emergency-response-earthquake-23-february-2022,
"       11,000       ",      Homeless      ,   Residence   ,         Unknown       ,"The earthquakes have affected at least 96 communities and 35 sub-districts in NWS; more than 10,000 buildings have been partially or completely destroyed, leaving over 11,000 people homeless.",Syria,2023-02-23 16:28:02+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-flash-update-3-emergency-response-earthquake-23-february-2022,
